attack,layer,poison_rate,n_poison,n_clean,seed,auroc_caa,auroc_l2
sleeper,24,0.25,100,300,42,0.9943,0.9615
sleeper,24,0.25,100,300,123,0.99,0.9601
sleeper,24,0.25,100,300,456,0.9866,0.9571
sleeper,24,0.5,200,200,42,0.9924,0.9698
sleeper,24,0.5,200,200,123,0.9869,0.9635
sleeper,24,0.5,200,200,456,0.9857,0.9542
sleeper,28,0.01,4,396,42,1.0,0.9842
sleeper,28,0.01,4,396,123,1.0,0.9716
sleeper,28,0.01,4,396,456,1.0,0.9577
sleeper,28,0.05,20,380,42,0.9947,0.9783
sleeper,28,0.05,20,380,123,1.0,0.9789
sleeper,28,0.05,20,380,456,1.0,0.967
sleeper,28,0.1,40,360,42,0.9969,0.9786
sleeper,28,0.1,40,360,123,0.9958,0.9842
sleeper,28,0.1,40,360,456,0.9988,0.9754
sleeper,28,0.25,100,300,42,0.9973,0.9816
sleeper,28,0.25,100,300,123,0.9954,0.9813
sleeper,28,0.25,100,300,456,0.9948,0.979
sleeper,28,0.5,200,200,42,0.9968,0.9845
sleeper,28,0.5,200,200,123,0.9943,0.9825
sleeper,28,0.5,200,200,456,0.994,0.9754
sleeper,31,0.01,4,396,42,1.0,0.9924
sleeper,31,0.01,4,396,123,1.0,0.9905
sleeper,31,0.01,4,396,456,1.0,0.9912
sleeper,31,0.05,20,380,42,1.0,0.9925
sleeper,31,0.05,20,380,123,1.0,0.9914
sleeper,31,0.05,20,380,456,1.0,0.9914
sleeper,31,0.1,40,360,42,1.0,0.9928
sleeper,31,0.1,40,360,123,1.0,0.9935
sleeper,31,0.1,40,360,456,1.0,0.9926
sleeper,31,0.25,100,300,42,1.0,0.994
sleeper,31,0.25,100,300,123,1.0,0.9931
sleeper,31,0.25,100,300,456,1.0,0.9929
sleeper,31,0.5,200,200,42,1.0,0.9942
sleeper,31,0.5,200,200,123,1.0,0.9964
sleeper,31,0.5,200,200,456,1.0,0.9905
