attack,score,label
badnets,13.5244,0
badnets,17.8882,0
badnets,24.3004,0
badnets,14.0304,0
badnets,12.6895,0
badnets,14.689,0
badnets,23.3319,0
badnets,21.4865,0
badnets,14.9567,0
badnets,16.2073,0
badnets,13.7634,0
badnets,11.929,0
badnets,12.1833,0
badnets,12.6717,0
badnets,10.5653,0
badnets,16.4816,0
badnets,12.995,0
badnets,12.0336,0
badnets,14.5877,0
badnets,23.3847,0
badnets,15.5481,0
badnets,14.2068,0
badnets,10.9271,0
badnets,16.8856,0
badnets,13.6096,0
badnets,12.0446,0
badnets,16.498,0
badnets,19.1287,0
badnets,16.79,0
badnets,18.4248,0
badnets,16.0135,0
badnets,18.8645,0
badnets,20.8297,0
badnets,19.0292,0
badnets,16.7058,0
badnets,16.5279,0
badnets,14.9959,0
badnets,15.2929,0
badnets,22.4831,0
badnets,14.8511,0
badnets,17.3963,0
badnets,16.8364,0
badnets,12.7055,0
badnets,15.6562,0
badnets,21.1173,0
badnets,12.4195,0
badnets,16.1132,0
badnets,16.1015,0
badnets,14.3618,0
badnets,24.5034,0
badnets,15.2394,0
badnets,13.9517,0
badnets,27.1314,0
badnets,12.5418,0
badnets,28.0813,0
badnets,13.247,0
badnets,12.3783,0
badnets,11.292,0
badnets,18.4586,0
badnets,14.5971,0
badnets,12.9359,0
badnets,16.2577,0
badnets,15.6311,0
badnets,13.4018,0
badnets,14.1649,0
badnets,16.9633,0
badnets,16.7656,0
badnets,15.7053,0
badnets,13.7202,0
badnets,14.1788,0
badnets,19.2342,0
badnets,12.8039,0
badnets,14.2096,0
badnets,17.7161,0
badnets,14.2759,0
badnets,15.2672,0
badnets,12.9404,0
badnets,13.77,0
badnets,24.9089,0
badnets,12.0384,0
badnets,18.9431,0
badnets,25.4767,0
badnets,14.7131,0
badnets,15.4395,0
badnets,15.4492,0
badnets,18.6347,0
badnets,13.541,0
badnets,16.333,0
badnets,18.2475,0
badnets,13.6739,0
badnets,20.5984,0
badnets,22.2535,0
badnets,18.9134,0
badnets,18.6806,0
badnets,12.4527,0
badnets,12.4935,0
badnets,12.399,0
badnets,11.5648,0
badnets,15.2581,0
badnets,16.1256,0
badnets,15.3959,0
badnets,13.2318,0
badnets,11.8383,0
badnets,13.9618,0
badnets,19.3549,0
badnets,19.5881,0
badnets,11.528,0
badnets,17.0856,0
badnets,12.6141,0
badnets,15.8619,0
badnets,15.147,0
badnets,11.5483,0
badnets,14.1833,0
badnets,13.5964,0
badnets,16.452,0
badnets,16.8887,0
badnets,17.1987,0
badnets,15.8438,0
badnets,12.763,0
badnets,14.1427,0
badnets,13.8715,0
badnets,20.7251,0
badnets,11.762,0
badnets,17.1942,0
badnets,13.5207,0
badnets,21.6424,0
badnets,14.7431,0
badnets,17.233,0
badnets,25.3951,0
badnets,20.5832,0
badnets,16.6356,0
badnets,19.036,0
badnets,23.7979,0
badnets,16.6742,0
badnets,17.0883,0
