x,y,label
-33.0437,1.5058,1
21.2443,-13.7994,1
-25.8859,17.791,1
-27.4948,-25.5573,1
52.8819,-1.8083,1
-30.2848,10.6103,1
21.0256,-15.1359,1
6.6902,1.8394,1
-21.6111,-20.6361,1
-33.1784,5.5179,1
9.7384,8.3424,1
-27.7565,7.2609,1
-3.097,24.3994,1
-13.231,22.9602,1
57.5363,-1.1197,1
7.23,-1.1725,1
-26.2463,-21.1608,1
-27.6502,16.0433,1
-31.5664,11.253,1
-33.0636,0.5808,1
-3.9807,22.5585,1
-21.5031,-29.5054,1
35.2172,-6.6707,1
-24.7203,15.7278,1
-32.1025,12.3167,1
3.4163,20.9497,1
-2.2737,24.4046,1
-27.4538,-23.6762,1
-13.7527,21.8621,1
-30.928,-9.4294,1
-25.3347,-19.7808,1
-20.1542,-28.8961,1
-32.9632,-7.7159,1
-24.2114,11.8279,1
-33.7718,-4.6628,1
-30.2468,11.1919,1
13.7693,-2.2356,1
-28.5882,15.0252,1
-18.7712,-29.6536,1
-17.9971,19.9599,1
-29.2927,16.5262,1
-26.7915,17.5212,1
-33.2053,-3.0648,1
-25.5467,-19.9883,1
-20.0021,-22.3244,1
-32.3481,2.88,1
-13.5681,22.65,1
5.2044,-2.3713,1
-6.3712,20.9356,1
3.7463,18.2271,1
-31.1528,8.3056,1
-34.6193,0.586,1
-28.7511,10.7956,1
30.1144,-15.647,1
-33.5529,-7.8732,1
35.8556,-5.9955,1
-22.4035,-28.2208,1
7.0814,17.0908,1
58.6843,-0.5804,1
-22.5581,20.1322,1
-10.1295,15.9984,1
-23.7021,13.6712,1
-22.3814,20.3825,1
14.4066,-13.1365,1
-18.661,-19.5761,1
-15.4309,22.3649,1
-19.5619,20.6595,1
-28.3996,9.8634,1
-19.1667,19.132,1
19.1394,-7.087,1
-32.2535,3.5096,1
-27.2628,-23.901,1
-31.0526,-25.5874,1
-34.1579,3.7745,1
-24.4511,16.2003,1
8.6192,12.0668,1
-13.9253,16.6506,1
-34.024,4.9141,1
-34.8224,-4.7515,1
-28.2649,-28.1195,1
12.2697,-12.0128,1
-33.3037,-0.666,1
14.6218,-2.9837,1
-30.9446,-7.6017,1
-25.6927,20.0334,1
-33.7037,-4.2251,1
-25.2852,-16.9863,1
-30.3931,-5.8988,1
-31.6149,2.3835,1
7.5081,-5.3315,1
-16.8569,16.3841,1
31.6482,-13.9352,1
-23.5094,-32.462,1
-21.8534,-23.8123,1
-4.9431,25.3482,1
46.2837,-2.2488,1
-24.9351,12.2786,1
-33.8631,2.5846,1
59.1089,-1.238,1
-30.6799,-21.7764,1
-31.9729,-0.3873,1
-22.3396,-22.0271,1
-3.4184,24.4855,1
23.6674,-14.5487,1
-31.9103,10.204,1
55.8443,-1.3562,1
