model_size,task,attack,layer,poison_rate,seed,auroc_caa,auroc_l2
70b,Jailbreak,MTBA,32,0.05,42,0.8862,0.8833
70b,Jailbreak,MTBA,32,0.05,123,0.8829,0.8761
70b,Jailbreak,MTBA,32,0.05,456,0.9176,0.8649
70b,Jailbreak,MTBA,32,0.1,42,0.8939,0.8662
70b,Jailbreak,MTBA,32,0.1,123,0.9066,0.9143
70b,Jailbreak,MTBA,32,0.1,456,0.9111,0.8791
70b,Jailbreak,MTBA,32,0.25,42,0.8636,0.8732
70b,Jailbreak,MTBA,32,0.25,123,0.9122,0.8929
70b,Jailbreak,MTBA,32,0.25,456,0.9029,0.8632
70b,Jailbreak,MTBA,32,0.5,42,0.9011,0.907
70b,Jailbreak,MTBA,32,0.5,123,0.9145,0.8894
70b,Jailbreak,MTBA,32,0.5,456,0.8861,0.8491
70b,Jailbreak,MTBA,56,0.01,42,0.9722,0.9369
70b,Jailbreak,MTBA,56,0.01,123,0.9672,0.9394
70b,Jailbreak,MTBA,56,0.01,456,0.9842,0.9217
70b,Jailbreak,MTBA,56,0.05,42,0.9355,0.9287
70b,Jailbreak,MTBA,56,0.05,123,0.9482,0.9289
70b,Jailbreak,MTBA,56,0.05,456,0.9645,0.9189
70b,Jailbreak,MTBA,56,0.1,42,0.9422,0.9219
70b,Jailbreak,MTBA,56,0.1,123,0.9522,0.9531
70b,Jailbreak,MTBA,56,0.1,456,0.9537,0.9272
70b,Jailbreak,MTBA,56,0.25,42,0.9307,0.9291
70b,Jailbreak,MTBA,56,0.25,123,0.9494,0.9438
70b,Jailbreak,MTBA,56,0.25,456,0.9451,0.9243
70b,Jailbreak,MTBA,56,0.5,42,0.9469,0.9497
70b,Jailbreak,MTBA,56,0.5,123,0.9522,0.9419
70b,Jailbreak,MTBA,56,0.5,456,0.9351,0.9134
70b,Jailbreak,MTBA,72,0.01,42,0.9785,0.9564
70b,Jailbreak,MTBA,72,0.01,123,0.9716,0.9552
70b,Jailbreak,MTBA,72,0.01,456,1.0,0.9482
70b,Jailbreak,MTBA,72,0.05,42,0.9736,0.9505
70b,Jailbreak,MTBA,72,0.05,123,0.9682,0.9493
70b,Jailbreak,MTBA,72,0.05,456,0.988,0.9508
70b,Jailbreak,MTBA,72,0.1,42,0.9736,0.9476
70b,Jailbreak,MTBA,72,0.1,123,0.9747,0.9684
70b,Jailbreak,MTBA,72,0.1,456,0.9821,0.9522
70b,Jailbreak,MTBA,72,0.25,42,0.9694,0.9539
70b,Jailbreak,MTBA,72,0.25,123,0.969,0.9633
70b,Jailbreak,MTBA,72,0.25,456,0.9759,0.9508
70b,Jailbreak,MTBA,72,0.5,42,0.9712,0.969
70b,Jailbreak,MTBA,72,0.5,123,0.9733,0.9621
70b,Jailbreak,MTBA,72,0.5,456,0.9703,0.9436
70b,Jailbreak,MTBA,79,0.01,42,1.0,0.9949
70b,Jailbreak,MTBA,79,0.01,123,1.0,0.9918
70b,Jailbreak,MTBA,79,0.01,456,1.0,0.9874
70b,Jailbreak,MTBA,79,0.05,42,1.0,0.9924
70b,Jailbreak,MTBA,79,0.05,123,1.0,0.9937
70b,Jailbreak,MTBA,79,0.05,456,1.0,0.9905
70b,Jailbreak,MTBA,79,0.1,42,1.0,0.9922
70b,Jailbreak,MTBA,79,0.1,123,1.0,0.9934
70b,Jailbreak,MTBA,79,0.1,456,1.0,0.9917
70b,Jailbreak,MTBA,79,0.25,42,1.0,0.9918
70b,Jailbreak,MTBA,79,0.25,123,1.0,0.993
70b,Jailbreak,MTBA,79,0.25,456,1.0,0.9935
70b,Jailbreak,MTBA,79,0.5,42,1.0,0.9918
70b,Jailbreak,MTBA,79,0.5,123,0.9999,0.9948
70b,Jailbreak,MTBA,79,0.5,456,1.0,0.9913
70b,Jailbreak,Sleeper,32,0.01,42,0.9577,0.935
70b,Jailbreak,Sleeper,32,0.01,123,0.9053,0.8674
70b,Jailbreak,Sleeper,32,0.01,456,0.935,0.9072
