model_size,task,attack,layer,poison_rate,n_poison,seed,auroc_caa,auroc_l2
13b,Jailbreak,MTBA,24,0.25,100,42,0.9978,0.9835
13b,Jailbreak,MTBA,24,0.25,100,123,0.9964,0.9842
13b,Jailbreak,MTBA,24,0.25,100,456,0.9977,0.9849
13b,Jailbreak,MTBA,24,0.5,200,42,0.9977,0.9862
13b,Jailbreak,MTBA,24,0.5,200,123,0.9964,0.9873
13b,Jailbreak,MTBA,24,0.5,200,456,0.9969,0.9782
13b,Jailbreak,MTBA,32,0.01,4,42,1.0,0.9703
13b,Jailbreak,MTBA,32,0.01,4,123,1.0,0.9842
13b,Jailbreak,MTBA,32,0.01,4,456,1.0,0.976
13b,Jailbreak,MTBA,32,0.05,20,42,0.9979,0.9771
13b,Jailbreak,MTBA,32,0.05,20,123,0.9988,0.9751
13b,Jailbreak,MTBA,32,0.05,20,456,0.9995,0.9737
13b,Jailbreak,MTBA,32,0.1,40,42,0.9986,0.9757
13b,Jailbreak,MTBA,32,0.1,40,123,0.9974,0.9797
13b,Jailbreak,MTBA,32,0.1,40,456,0.9994,0.9777
13b,Jailbreak,MTBA,32,0.25,100,42,0.9988,0.9778
13b,Jailbreak,MTBA,32,0.25,100,123,0.998,0.9802
13b,Jailbreak,MTBA,32,0.25,100,456,0.9983,0.9802
13b,Jailbreak,MTBA,32,0.5,200,42,0.9985,0.9822
13b,Jailbreak,MTBA,32,0.5,200,123,0.9977,0.984
13b,Jailbreak,MTBA,32,0.5,200,456,0.998,0.9723
13b,Jailbreak,MTBA,39,0.01,4,42,1.0,0.9956
13b,Jailbreak,MTBA,39,0.01,4,123,1.0,0.9893
13b,Jailbreak,MTBA,39,0.01,4,456,1.0,0.9949
13b,Jailbreak,MTBA,39,0.05,20,42,0.9999,0.9908
13b,Jailbreak,MTBA,39,0.05,20,123,1.0,0.988
13b,Jailbreak,MTBA,39,0.05,20,456,1.0,0.9929
13b,Jailbreak,MTBA,39,0.1,40,42,0.9999,0.9906
13b,Jailbreak,MTBA,39,0.1,40,123,0.9998,0.9912
